firstname,rightname,first_location,second_location,third_location,phone,link
Höhl Containerdienst GmbH,Top Partner,Recycling,"Alte Rheinhäuser Str. 15,",67346 Speyer,06232 81 08 00,http://www.HÖHL.de
"KLEIN CONTAINERDIENST & RECYCLING GMBH, Container-Transporte-Abbrucharbeiten-Recycling",Top Partner,Recycling,"Auf Pfuhlst 13,",66589 Merchweiler,06825 78 82,http://www.container-klein.eu
Kompetenzzentrum K3 Kreislaufwirtschaft,Top Partner,Recycling,"Nürtinger Str. 124,",73230 Kirchheim/Teck,07021 98 59-79,https://www.feess.de/k3.html
Kömpf Bauzentrum,Top Partner,Recycling,"Mühlackerstr. 22,",71069 Sindelfingen,07031 7 61-6,http://www.koempf.de
Korn Recycling GmbH,Top Partner,Recycling,"Daimlerstr. 24‑28,",72829 Engstingen,07129 93 98-38,http://www.korn-recycling.de
MEG Mülheimer Entsorgungsgesellschaft mbH,Top Partner,Recycling,"Pilgerstr. 25,",45473 Mülheim an der Ruhr,0208 9 96 60-0,http://www.mheg.de
Regu Recycling,Top Partner,Recycling,"Teuringer Str. 57,",88045 Friedrichshafen,07541 5 55 04,http://www.regu-recycling.de
Robert Doormann e.K. - Entsorgungsfachbetrieb,Top Partner,Recycling,"Lohweg 38,",30559 Hannover,0511 5 63 84 60,http://www.doormann.net
Rohstoffverwertung Reutlingen GmbH & Co. KG,Top Partner,Recycling,"Sondelfinger Str. 8,",72760 Reutlingen,07121 3 45 38-0,http://www.rv-reutlingen.de
SchroMet GmbH,Top Partner,Recycling,"Daimlerstr. 17,",72147 Nehren,07473 50 58,http://www.schromet.de
Stickel Container-Service,Top Partner,Recycling,"Brucknerstr. 9,",71672 Marbach,07144 8 84 15-0,http://www.stickel-marbach.de
Stücke Rohstoff-Recycling GmbH,Top Partner,Recycling,"Buschortstr. 52‑54,",32107 Bad Salzuflen,05221 7 03 47,http://www.stuecke-gmbh.de
A. Frauenrath Recycling GmbH,Top Partner,Recycling,"Industriestr. 50,",52525 Heinsberg,02452 18 90,http://www.frauenrath.de
A. Veolia Umweltservice Süd GmbH & Co. KG,Top Partner,Recycling,"Dieselstr. 24,",90441 Nürnberg,0911 95 15 83 53,http://www.veolia.de
Abfallwirtschaftsges. mbH,Top Partner,Recycling,"Korzerter Str. 75,",42349 Wuppertal,0202 40 42-3 60,http://www.awg.wuppertal.de
Abfallzweckverband Stadt und Landkreis Hof,Top Partner,Recycling,"Kirchplatz 10,",95028 Hof,09281 72 59-95,http://www.azv-hof.de
Absetzcontainer Leu,Top Partner,Recycling,"Im Hesselbruch 11,",45356 Essen,0201 7 10 16 28,http://www.leu-containerdienst.de
Akten- u. Datenvernichtung vor Ort GmbH & Co. KG,Top Partner,Recycling,"Neufeldstr. 14,",85232 Günding/Bergkirchen,08131 3 22 99-0,http://www.aktenvernichtung-muenchen.de
Altautoannahmestelle Michael Oblinger Recycling GmbH & Co. KG,Top Partner,Recycling,"Moosmüllerweg 9,",85055 Ingolstadt,0841 9 81 24 04-0,http://www.oblinger-recycling.de
AVG - Abfallentsorgungs- und Verwertungsges.Köln mbH,Top Partner,Recycling,"Geestemünder Str. 23,",50735 Köln,0221 7 17 00,http://www.avgkoeln.de
Bach Metalle GmbH,Top Partner,Recycling,"Johann‑Schöner‑Str. 51,",97753 Karlstadt,09353 97 78-0,http://www.bachmetalle.de
Baustoffrecycling Bayreuth GmbH & Co. KG,Top Partner,Recycling,"Christian‑Ritter‑von‑Langheinrich‑Str. 7,",95448 Bayreuth,09208 58 06 80,http://www.bsr-bayreuth.de
Beck Abbruch GmbH,Top Partner,Recycling,"Mittelweg 2,",08485 Lengenfeld,037606 3 75 90,https://beck-abbruch-erdbau-recycling-gmbh.business.site
Bissendorf Recycling GmbH,Top Partner,Recycling,"Auf der Haube 5,",30900 Wedemark,05130 3 76 76 66,http://www.bissendorf-recycling.de
Breitsamer Entsorgung Recycling GmbH,Top Partner,Recycling,"Dachauer Str. 535,",80993 München,089 3 09 09 89-0,http://www.breitsamer.com
CS Container & Recycling KG,Top Partner,Recycling,"Industriestr. 8,",04435 Schkeuditz,034204 78 81 15,http://www.cs-gruppe.de
CUP Recycling GmbH,Top Partner,Recycling,"Schäferheide 1,",63755 Alzenau,06023 96 40-0,http://www.werner-entsorgt.de
Dietz Recycling- und Baustoffgesellschaft mbh,Top Partner,Recycling,"Jahnstr. 19,",96260 Weismain,09575 92 33 92,http://www.dietz-bau.de
Ehgartner GmbH Entsorgung,Top Partner,Recycling,"Wallensteinstr. 21,",82538 Geretsried,08171 9 33 80,http://www.ehgartner.de
Energieholz Eggolsheim GmbH,Top Partner,Recycling,"Lückenkreuzweg 2,",91330 Eggolsheim,09191 70 23 40,http://www.energieholz-eggolsheim.de
GAA GmbH Industrieservice & Dienstleistung,Top Partner,Recycling,"In der Breitwiese 1,",76684 Östringen / Odenheim,07259 5 38 35 05,http://www.gaa-industrieservice.de
H + R Recycling GmbH,Top Partner,Recycling,"Zeiss‑Str. 5,",42551 Velbert,02051 2 08 80,http://www.hr-recycling.com
Heimkreiter Logistik + Entsorgung,Top Partner,Recycling,"Josef‑Janker‑Ring 3,",83646 Bad Tölz,08041 76 17-0,http://www.heimkreiter.de
HOLZ- & SPEZIALBAU Schadly GmbH & Co. KG,Top Partner,Recycling,"Lindenstr. 38a,",15757 Halbe,0172 3 10 57 52,http://www.holz-spezialbau.de
Jean Bilsheim Recycling GmbH,Top Partner,Recycling,"Weiherstr. 37,",95448 Bayreuth,0921 7 89 19-0,http://www.jean-bilsheim.de
Jean Bilsheim Textil GmbH,Top Partner,Recycling,"Neuhofer Str. 14‑16,",95473 Creußen,09270 98 00,
Kömpf Bauzentrum,Top Partner,Recycling,"Leibnizstr. 2,",75365 Calw,07051 93 93,http://www.koempf.de
Lampersberger Georg GmbH,Top Partner,Recycling,"Kleeham 9,",83339 Chieming,08664 98 35-0,http://www.georg-lampersberger.de
LinTres Recycling GmbH & Co KG,Top Partner,Recycling,"Waldhofer Str. 102,",69123 Heidelberg,06221 7 27 90,http://www.lintres.de
Lorenz Wittmann GmbH,Top Partner,Recycling,"Albert‑Einstein‑Str. 10,",84030 Ergolding,0871 43 09 43-0,http://www.wittmann-recycling.de
MALTAN Fuhr- u. Entsorgungs GmbH,Top Partner,Recycling,"Storchenstr. 45,",83471 Schönau,08652 40 49,http://www.sepp-maltan.de
Moosleitner,Top Partner,Recycling,"Wimpasing 1,",83416 Saaldorf‑Surheim,08654 47 34-0,http://www.moosleitner.eu
Oberland Recycling,Top Partner,Recycling,"Paradeisstr. 68,",82362 Weilheim i. Obb.,0881 9 25 42-0,http://www.oberland-recycling.de
Oberlausitzer Recyclingzentrum Lehmann,Top Partner,Recycling,"Kreckwitzer Str. 24,",02627 Kubschütz,03591 2 41 97,http://www.oberlausitzer-recycling.de
Pletschacher Recycling GmbH,Top Partner,Recycling,"Breslauer Str. 61,",83395 Freilassing,08654 57 67 50,http://www.pletschacher-recycling.de
Poncet Horst,Top Partner,Recycling,"Dorfstr. 33,",82418 Hofheim,08847 2 64,
Preimesser,Top Partner,Recycling,"Taxetstr. 3,",85551 Kirchheim,089 99 18 82-0,http://www.preimesser.de
Preuer GmbH,Top Partner,Recycling,"Veitshöchheimer Str. 11,",97080 Würzburg,0931 9 20 61,http://www.preuer.de
Recycling Entsorgung & Logistik,Top Partner,Recycling,"Schulze‑Delitzsch‑Str. 24,",68542 Heddesheim,06203 40 29-0,http://www.rel-hd.de
Recyclinghof im Entsorgungs-Zentrum-Schwabach (EZS),Top Partner,Recycling,"Hirschenholzstr.,",91126 Schwabach,09122 7 30 08,http://www.stadtwerke-schwabach.de
REMONDIS GmbH & Co. KG (Region Süd),Top Partner,Recycling,"Pasteurstr. 22,",80999 München,089 8 92 17-3 80,http://www.remondis-sued.de
Scholz Recycling GmbH,Top Partner,Recycling,"Gutenbergstr. 6,",96450 Coburg,09561 55 19-0,http://www.scholz-recycling.de
Schönemann G. Entsorgung GmbH,Top Partner,Recycling,"Daheimstr. 5,",06842 Dessau‑Roßlau,0340 8 50 52 18,http://www.schoenemann-entsorgung.de
Schönemann G. Entsorgung GmbH,Top Partner,Recycling,"Reideburger Str. 65,",06116 Halle (Saale),0345 5 60 62 11,http://www.schoenemann-entsorgung.de
Sedlmaier Anton GmbH,Top Partner,Recycling,"Petersbrunner Str. 4a,",82319 Starnberg,08151 8 98 33,http://www.sedlmaier-gmbh.com
Sell Recycling,Top Partner,Recycling,"Glauberstr. 19,",97318 Kitzingen,09321 92 93-0,http://www.sell-recycling.de
Veolia Umweltservice Süd GmbH & Co. KG,Top Partner,Recycling,"Hafenstr. 119,",90768 Fürth,0911 95 15 83 53,http://www.veolia.de
Veolia Umweltservice Süd GmbH & Co. KG,Top Partner,Recycling,"Richtbergstr. 3‑4,",97493 Bergrheinfeld,09721 5 39 46 67,http://www.veolia.de
Wild - Metall Inh. Wild Thomas,Top Partner,Recycling,"Reuboldstr. 10,",63937 Weilbach,01511 5 53 61 35,
Assmann Recycling GmbH,Top Partner,Recycling,"Kleiner Mooranger 6,",38108 Braunschweig,0531 35 38 61,http://www.assmann-recycling.de
AVG Baustoffe Duisburg GmbH,Top Partner,Recycling,"Mausegatt 40,",47228 Duisburg,02065 77 47-0,http://www.avg.eu
"Bauer GmbH & Co. KG, Richard",Top Partner,Recycling,"Zur Hexenbrücke 16,",27570 Bremerhaven,0471 93 29 20,http://www.bauer-bhv.de
Baustoff-Recycling-Oberberg GmbH & Co. KG,Top Partner,Recycling,"Bockshard 26,",51580 Reichshof,02261 5 15 28,
Boden und Recycling Magdeburg GmbH,Top Partner,Recycling,"Thauberg 2,",39116 Magdeburg,0391 6 31 64 69,http://www.bodenundrecycling.de
BSR Baustoff + Recycling GmbH,Top Partner,Recycling,"Polysiusstr. 4,",06847 Dessau‑Roßlau,0340 54 11 00,http://www.hengegroup.de
C.R.H. Recycling,Top Partner,Recycling,"Ludwig‑Erhard‑Str. 5,",74564 Crailsheim,07951 2 49 13,http://www.crh-recycling.de
CS Container & Recycling KG,Top Partner,Recycling,"Industriestr. 8,",04435 Schkeuditz,034204 78 81 15,http://www.cs-gruppe.de
Delme-Werkstätten gGmbH,Top Partner,Recycling,"Hasseler Weg 20,",27232 Sulingen,04271 9 31 00,https://www.delme-wfbm.de/aktenvernichtung
Dunkel Baustoff-Recycling-Zentrum OHG,Top Partner,Recycling,"Berliner Str. 4,",16727 Velten,03304 39 91-0,http://www.dunkel.berlin
Ehrhardt Rohstoff-Recycling GmbH,Top Partner,Recycling,"Steinräum 3,",96524 Föritz,03675 75 79-3,http://www.ehrhardt-recycling.de
Gebrüder Fabian GmbH Schrotthandel,Top Partner,Recycling,"Schnackenburgallee 192,",22525 Hamburg,040 5 47 54 67-0,http://www.gebrueder-fabian.de
Gerhard Rösl GmbH,Top Partner,Recycling,"Zschettgauer Str. 3,",04838 Jesewitz,034241 5 69 00 37,http://www.roesl.de
H. Ehlert & Söhne (GmbH & Co.) KG,Top Partner,Recycling,"Sorbenstraße 50,",20537 Hamburg,040 4 01 37 90,http://www.ehlert-soehne.de
"Hennies Recycling GmbH & Co. KG, Willi",Top Partner,Recycling,"Römerring 14,",31137 Hildesheim,05121 7 65 80,https://www.willi-hennies.de/de/
Hofmann GmbH,Top Partner,Recycling,"Werkstr. 6a,",76437 Rastatt,07222 40 34 90,http://www.hofmann-entsorgung.de
Josef Reters & Söhne GmbH,Top Partner,Recycling,"Emil‑Rohrmann‑Str. 6,",58239 Schwerte,02304 9 42 04-0,http://www.reters-online.de
KAR Krüger Abbruch und Rohstoff GmbH,Top Partner,Recycling,"Zur Einigkeit 39,",27374 Visselhövede,04262 88 02,http://www.kar-abbruch.de
Lewedag B. GmbH & Co. KG,Top Partner,Recycling,"Hullmanns Damm 15,",49525 Lengerich,05481 9 45 40,http://www.lewedag.de
"LinTres Recycling GmbH & Co. KG, (haftungsbeschränkt) & Co. KG",Top Partner,Recycling,"Bramfelder Str. 117,",22305 Hamburg,040 6 38 55 99 22,http://www.lintres.de
Pogoda Kunststoffverwertung GmbH,Top Partner,Recycling,"Am Kalischacht 6,",79426 Buggingen,07631 1 45 96,http://www.kunststoffverwertung.com
Schlotmann GmbH,Top Partner,Recycling,"Staumühler Str. 180,",33161 Hövelhof,05257 9 35 50,http://www.schlotmann.com
Schönemann G. Entsorgung GmbH,Top Partner,Recycling,"Reideburger Str. 65,",06116 Halle (Saale),0345 5 60 62 11,http://www.schoenemann-entsorgung.de
Schöttler Abbruch Erdbewegung Transport GmbH,Top Partner,Recycling,"Ruenhorst 22,",46395 Bocholt,02871 1 35 96,http://www.schoettler-bocholt.de
SHO Oesterreich GmbH,Top Partner,Recycling,"Brookdeich 50,",21029 Hamburg,040 72 41 24-0,http://www.sho-oesterreich.de
SHP Rohstoffrecycling GmbH,Top Partner,Recycling,"Dorfanger 18,",99444 Blankenhain,036459 4 91-0,http://www.shp-rohstoffrecycling.de
Stadtreinigung Hamburg Stadtreinigung,Top Partner,Recycling,"Bullerdeich 19,",20537 Hamburg,040 25 76-25 76,http://www.stadtreinigung.hamburg
Tenzer A. GmbH & Co. KG,Top Partner,Recycling,"Gladbacher Str. 37,",52525 Heinsberg,02452 9 50 10,http://www.tenzer.de
WILHELM HASENBACH Unternehmer Erich Arens GmbH,Top Partner,Recycling,"Kesselheimer Weg 18,",56070 Koblenz‑Rheinhafen,0261 8 13 78,http://www.hasenbach-koblenz.de
Zimmermann Recycling GbR,Top Partner,Recycling,"DEA‑Str. 17,",29323 Wietze,05146 98 54 90,https://zimmermann-recycling-wietze.de
Kies- und Recyclingkontor Zemitz GmbH Kieswerk,Top Partner,Recycling,"Weiblitz 14,",17440 Zemitz,03836 2 31 53 23,
Recyclinghof Fehmarn Container Entsorgung Tiefbau,Top Partner,Recycling,"Hochfelder Mühle 2,",23769 Fehmarn,04371 88 08-0,http://www.fr-fehmarn.de
Schultz Recycling GmbH,Top Partner,Recycling,"Industriestr. 14,",24848 Kropp,04624 4 50 66-0,http://www.schultz-recycling.de
Tarik Türk Abbruch - Erdbau - Sanierung,Top Partner,Recycling,"Amselweg 28,",23970 Wismar,03841 28 39 28,http://www.tuerk-abbruch.de
Brückner Rohrtechnik GmbH,Top Partner,Recycling,"Mehlbydiek 31‑33,",24376 Kappeln,04642 9 65 59 60,http://www.brueckner-rohrtechnik.de
Recycling Anlage Fockbek GmbH,Top Partner,Recycling,"Loher Weg 61‑63,",24787 Fockbek,04331 66 96 26,http://www.recyclinganlage-fockbek.de
Altmetall CTR Metall Recycling GmbH,Top Partner,Recycling,"Hochstr. 23,",47228 Duisburg,02065 9 01 65 84,https://www.ctr-metall.de/
Aqua-Tool Entsorgung & Recycling GmbH,Top Partner,Recycling,"Chausseestr. 33,",14778 Beetzsee,03381 7 99 72 85,http://www.aqua-tool-gmbh.de
BEHNKE Recycling GmbH,Top Partner,Recycling,"Zum Heizwerk 16,",14478 Potsdam,0331 88 72 52 11,http://www.behnke-recycling.com
Gertner & Fettback GmbH,Top Partner,Recycling,"Poststr. 42,",14542 Werder (Havel),03327 57 23 75,http://www.gertner-fettback.de
Heidelbach Metall Recycling GmbH Abbruch- u. Demontagearbeiten,Top Partner,Recycling,"Stollenstr. 25,",45966 Gladbeck,02043 3 71 29 51,http://www.heidelbach-gladbeck.de
MÜCOLEF GmbH,Top Partner,Recycling,"Zur Dorfstr. 10,",15806 Zossen,03377 34 39-0,http://www.muecolef.de
Perleberger Recycling GmbH,Top Partner,Recycling,"Rambower Chaussee 2,",19339 Plattenburg,038796 4 00 00,
Putzke Recycling und Containerdienst GmbH,Top Partner,Recycling,"Am Ringofen 13,",58089 Hagen,02331 1 58 65,http://www.putzke-schrott.de
RECON Recycling & Container GmbH,Top Partner,Recycling,"Auf dem Gellenkamp 21,",58135 Hagen,02331 90 25 90,http://www.recon-containerdienst.com
Recycling Center Zauchwitz GmbH Autoverwertung,Top Partner,Recycling,"Trebbiner Str. 83,",14547 Beelitz,033204 6 06-0,http://www.recycling-zauchwitz.de
REMONDIS GmbH & Co. KG (Region West),Top Partner,Recycling,"Dieselstr. 3,",44805 Bochum,0234 89 21-0,http://www.remondis-west.de
Schulze Holz- und Baustoffrecycling GmbH & Co. KG,Top Partner,Recycling,"Schleuener Weg 1,",16775 Löwenberger Land,033051 6 29-0,http://www.ors-recycling.de
URD GmbH Grüneberg,Top Partner,Recycling,"Großmutzer Heuweg 1,",16775 Löwenberger Land,033094 9 97-0,http://www.urd-grueneberg.de
ALFA Rohstoffhandel München GmbH,Top Partner,Recycling,"Herbert‑Quandt‑Str. 15,",81549 München,089 6 90 03 78,http://www.thv-metallrecycling.de
AREG-Abfall-Recycling-Entsorgungsgesellschaft mbH,Top Partner,Recycling,"Hauptstr. 91,",94127 Neuburg,08502 90 03-0,
ATP Service & Consulting GmbH,Top Partner,Recycling,"Industriestr. 12‑14,",15366 Hoppegarten,03342 3 07 04 86,
AUDUNA GmbH,Top Partner,Recycling,"Oberbernbacher Weg 12,",86551 Aichach,08251 9 38 22 25,
AUDUNA GmbH,Top Partner,Recycling,"Oberbernbacher Weg 12,",86551 Aichach,0160 2 66 75 99,
Bär Konrad & Söhne GmbH Bauschuttrecyclinganlage,Top Partner,Recycling,,91233 Neunkirchen,09123 95 47-0,
Barthmann Recycling GmbH,Top Partner,Recycling,"Hofer Str. 61,",95632 Wunsiedel,09232 21 67,
BL Rohstoff Logistik GmbH,Top Partner,Recycling,"Großer Westring 12,",27572 Bremerhaven,0471 14 28 99 20,http://www.bl-rohstoff.de
Breitsamer Entsorgung Recycling GmbH,Top Partner,Recycling,"Dachauer Str. 535,",80993 München,089 1 41 76 76,http://www.breitsamer-containerdienst.de
Brückner Verwertungs GmbH,Top Partner,Recycling,"Birkenseer Weg,",24340 Gammelby,04351 6 66 60,
Brückner Verwertungs GmbH,Top Partner,Recycling,"Birkenseer Weg,",24340 Gammelby,04351 6 66 60,
Brückner Verwertungs GmbH,Top Partner,Recycling,"Birkenseer Weg,",24340 Gammelby,04351 6 66 60,
CS Container & Recycling GmbH & Co. KG,Top Partner,Recycling,"Dresdner Str. 59,",01833 Dürrröhrsdorf‑Dittersbach,0800  8 49 87 90,
CS Container & Recycling GmbH & Co. KG,Top Partner,Recycling,"Dresdner Str. 59,",01833 Dürrröhrsdorf‑Dittersbach,035026 95 59-0,
CS Container & Recycling GmbH & Co. KG,Top Partner,Recycling,"Dresdner Str. 59,",01833 Dürrröhrsdorf‑Dittersbach,035026 9 57 80,
CUP GmbH Altholzaufbereitung,Top Partner,Recycling,"Schäferheide 1,",63755 Alzenau,06023 96 40-0,
Disposition,Top Partner,Recycling,,,0234 8 92 12 02,
DKR Deutsche Gesellschaft für Kunststoffrecycling mbH,Top Partner,Recycling,"Frankfurter Str. 720‑726.,",51145 Köln,02203 9 31 70,http://www.dkr.de
DR Deutsche Recycling Service GmbH Recycling,Top Partner,Recycling,"Bonner Str. 484‑486,",50968 Köln,0221 80 03 32-10,https://deutsche-recycling.de/
Eifel Reifen Recycling GmbH,Top Partner,Recycling,"Siemensring 25,",53925 Kall,02441 50 36,http://www.err-team.de
Eisen Braun GmbH,Top Partner,Recycling,"Alpenstr. 15,",87700 Memmingen,08331 95 25-0,http://www.eisen-braun.de
Ewald Lietmann GmbH,Top Partner,Recycling,"Juliusstr. 6,",42105 Wuppertal,0172 2 41 54 80,
Fegert Recycling GmbH,Top Partner,Recycling,"Glindenberger Weg 6,",39126 Magdeburg,0391 5 05 01 01,http://www.fegert-recycling.de
Finkel GmbH,Top Partner,Recycling,"Am Roßhimmel 10,",86368 Gersthofen,0821 41 90 07-0,
FKG Entsorgung GmbH,Top Partner,Recycling,"Alte Salzstr. 4,",09600 Oberschöna,037321 8 83-0,
GAR Gesellschaft f. Abfallsortierung u. Recycling GmbH,Top Partner,Recycling,"Lise‑Meitner‑Str. 1,",46569 Hünxe,0281 94 23 49-20,
GAR Gesellschaft f. Abfallsortierung und Recycling mbH,Top Partner,Recycling,"Lise‑Meitner‑Str. 1,",46569 Hünxe,0281 94 23 49-0,
Gärtner Michael GmbH,Top Partner,Recycling,"Im Ittertal 6,",69412 Eberbach,06271 91 67 33,http://www.michaelgaertner.de
Gattinger Fuhrunternehmen,Top Partner,Recycling,"Seeshaupter Str. 54a,",82377 Penzberg,08856 25 35,http://www.gattinger-penzberg.de
Gebr. Zimmermann Recycling GbR,Top Partner,Recycling,"DEA‑Str. 17,",29323 Wietze,05146 9 85 49-0,https://zimmermann-recycling-wietze.de
Gigler,Top Partner,Recycling,"Bozener Str. 14,",86165 Augsburg,0821 71 68 56,
Götz Textilrecycling,Top Partner,Recycling,"Steinbergstr. 10,",97705 Burkardroth,09701 90 76 22,
Grünservice GmbH Kompostieranlage,Top Partner,Recycling,"Solg 18,",95213 Solg,09256 9 52 48,
Hennies Recycling GmbH & Co. KG.Willi,Top Partner,Recycling,"Römerring 14,",31137 Hildesheim,05121 76 58-0,http://www.willi-hennies.de
Hoffmann Holz- u. Bauschuttrecycling GbR,Top Partner,Recycling,"Schönfelder Weg 31,",16321 Bernau bei Berlin,03338 60 47-0,
Hoffmann Roberto Schrotthandel,Top Partner,Recycling,"Kaperstr. 6,",27572 Bremerhaven,0471 9 02 01 49,http://www.schrott-hoffmann.de
Jakob Schaumaier Nachf. GmbH,Top Partner,Recycling,"Industriestr. 12,",83278 Traunstein,0861 1 66 86-0,http://www.schaumaier.de
Klixer Recycling und Service GmbH,Top Partner,Recycling,"Burker Str. 28A,",02625 Bautzen,03591 2 74 72-0,
"Kolbeck, Kieswerk und Transportbeton",Top Partner,Recycling,"Ringstr. 3A,",87452 Altusried,08374 58 33-0,http://www.kolbeck-erdbau.de
"Kompostwerk Würzburg ""Erdenmarkt""",Top Partner,Recycling,"Kitzinger Str. 60,",97076 Würzburg,0931 2 70 92-0,
Kopp Containerdienst + Recycling GmbH,Top Partner,Recycling,"Hohleichweg 35,",76189 Karlsruhe,0721 57 73 55,http://www.container-kopp-karlsruhe.de
Koslow Recycling GmbH & Co. KG,Top Partner,Recycling,"Röntgenstr. 17,",84030 Landshut,0871 97 36 70,http://www.koslow.de
Kuhner A. GmbH Schrott-Metalle,Top Partner,Recycling,"Südliche Uferstr. 9‑11,",76189 Karlsruhe,0721 9 52 62-0,http://www.schrott-kuhner.de
LinTres Recycling UG & CoKG,Top Partner,Recycling,"Bramfelder Str. 116,",22305 Hamburg,040 63 85 59 92-0,
LOACKER Recycling GmbH,Top Partner,Recycling,"Dillinger Str. 67,",86609 Donauwörth,0906 7 06 96-0,
Lübbenauer Baustoff Recycling GmbH,Top Partner,Recycling,"Ströbitzer Str.,",03099 Kolkwitz,0176 42 23 72 75,
Merx Karl-Heinz Recyclinganlage,Top Partner,Recycling,"An der Autobahn 19,",68789 St. Leon‑Rot,06227 86 45-30,http://www.merx-containerdienst.de
Merx Karl-Heinz Sieb- u. RecyclingAnl.,Top Partner,Recycling,"An der Autobahn 9,",68789 St. Leon‑Rot,06227 86 45-30,http://www.merx-containerdienst.de
MS-Recycling,Top Partner,Recycling,"Allee 5,",97215 Welbhausen,09842 9 52 78 85,
MÜCOLEF GmbH Containerdienst,Top Partner,Recycling,"Zur Dorfstr. 10,",15806 Zossen,03377 30 15 24,
Müller Recycling & Vermietung GmbH & Co.KG,Top Partner,Recycling,"Hummelweg 18,",32549 Bad Oeynhausen,05731 79 60 55,http://www.recycling-badoeynhausen.de
MV Altmetallabholservice,Top Partner,Recycling,"Kromsteg 37,",47638 Straelen,0157 75 73 52 66,
Orth Recycling,Top Partner,Recycling,"Seestr. 75,",69214 Eppelheim,06221 7 39 12-0,http://www.orth-recycling.de
Perleberger Recycling GmbH,Top Partner,Recycling,"Viesecker Str. 21,",19339 Plattenburg,038796 4 02 01,
PreZero Wertstoffmanagement GmbH & Co. KG,Top Partner,Recycling,"An der Pforte 2,",32457 Porta Westfalica,0571 97 44-01,http://www.prezero.com
R+M Rohstoff- u. Metall- Recycling GmbH,Top Partner,Recycling,,50259 Pulheim,02234 9 84 26-0,
Recyclinghof,Top Partner,Recycling,,,0941 5 07-17 09,
Recyclinghof Fürth,Top Partner,Recycling,"Jakobinenstr.,",90762 Fürth,0911 70 66 66,
ReeG GmbH,Top Partner,Recycling,,,036453 8 16 48,http://www.reeg-recycling.de
REMONDIS Maintenance & Services GmbH & Co. KG,Top Partner,Recycling,"Emdener Str. 278,",50735 Köln,0221 71 77-0,
Rewindo GmbH Recycling,Top Partner,Recycling,"Am Hofgarten 1,",53113 Bonn,0228 92 12 83-0,http://www.rewindo.de
Riedel Recycling GmbH,Top Partner,Recycling,"Am Pattberg 20,",47445 Moers,02841 98 20-0,
"Scalabrin GmbH & Co.,Eugen",Top Partner,Recycling,"Martinstr. 34,",42655 Solingen,0212 2 22 55-0,
Schmidt & Wagner Entsorgungs- u. Recycling GmbH,Top Partner,Recycling,"Gutenbergstr. 6,",96450 Coburg,09561 6 79 98 15,
Scholz Recycling AG & Co. KG,Top Partner,Recycling,"Mittelfeldstr. 1,",06217 Merseburg (Saale),03461 52 51 21,http://www.scholz-recycling.de
